drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
drama,Jakob Schmelzer,M,,,,Jetz litte sie de Säje.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Wirkli schlaat d'Bettglock dreijmol an.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Un schön gsunge han sie widder — schön gsunge. Ja ja — — schön gsunge.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Vierstimmig.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"E großer Fierdaa. — Weisch: ""aufgefahren gen Himmel, sitzet zur rechten Hand Gottes des allmächtigen Vaters, von dannen er kommen wird zu richten — — zu richten die Lawendigen und die Toten"".",0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Un d'r hochwürdig Herr Bischof isch drüwwe un dhuet in de-n-Erschkommnikante d' Firmung genn.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Daß ich so ebbs verfehle mueß. Dis ich m'r zue arrig . . . zue arrig isch m'r dis.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Jetz schelt doch nit. Dank dim Herrgott, daß de's üwerstande hesch, dini Krankheit. In e paar Daa kannsch au widder in d'Kirich gehn.",0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Wölle's hoffe, wölle's hoffe — —|||hoffe wölle m'r's. — — Ja, so e Verkältung, dismol het's mich nit üwel gepackt, — Halwer im Grab bin ich gstande, mit eim Fueß.",0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Jetz bisch awer widder gsund . . . un hesch nit emol in de Spital gebrücht.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Dis Heidegeld, wo's koscht het.",0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Denk nit dran, 's isch emol nit andersch",0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Un daß ich mine Salon hab verkaufe müen! — — Schad drum! schad drum! D'r Lade het sine Mann versorjt.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,M'r sin bis dato noch nit Hungers gstorwe . . . . d'r Herr Antoine nemmt dich in sin Bureau. Er het m'r's versproche.,0,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"E Gottsnamme! — — Zuem e bissel schriewe wurd's noch lange; — — do wurd's noch lange, so Gott will",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Un d'rno h mm'r jo unser Jeanne — — Es weiß, was es sine Eldere schuldi isch.",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Hörsch, jetz singe sie widder.",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,D'Veschber düürt lang. — — 's isch schun vier durich.,1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Ich mein, ich hör d'Stimm vum Jeanne erüs . . . . wahrhaftig, im Jeanne sini Stimm.",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Geh doch, wurum nit gar!",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Ich hör sie awer.,1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Mintwäje. Nur halt jetz Ruehj. De emotionirsch dich.,1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Ei jo denn! — — Gedischbediers un ken End. — M'r verzürnt sich fascht! — Wajer!,1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Morje Midda, wenn schön Wedder isch, derfsch e bissel in d'Sunn gehn, het d'r Dokter gsaat.",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"E bissel in d'Orangerie däpple, so langsam.",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Awer halte sollsch dich, het d'r Dokter... gsaat. Daß' ken rechute gitt.",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Weiß schun. — Apropos, 's Jeanne kann morje e Stückel mit m'r gehn.",1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Wenn's d'Bermission bekummt vum Herr Steinfeld. .....,1,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Ja, ja ... 's het sie sunsch au als bekumme an dem Daa . . . weisch denn nit, was morje-n-isch ?",2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Was denn ?,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Nammesdaa! — Nammesdaa!,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Weiß Gott ja. Vergiß i miner Nammesdaa.,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Mir zwei, ich un's Jeanne, han e Kommissiönel mitnand ze mache.",2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Um Gottswille ken Unköschte, ich will's nit han.",2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,E gfitzti Tart mueß uff de Disch ..... mit eme Vive Emelie drowwe . . . e paar Köujelhöpf . . . un e guets Tröpfel Win. Dis wäre m'r no üwri han. An so 'me Daa ze spare! — — Dis wär noch schöner.,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,De muesch jo allewyl dine Kopf han.|||d'Kirich isch üs.,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Jetz wurd 's Jeanne glich do sin.,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Ich denk's emol. Wenn's nit uffg'halte wurd.,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Wurum d'r Herr Albert am Sunndaas kenn Visit meh macht?,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Er wurd ebbs bessers ze dhuen han.,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Er schafft ze viel. Er gunnt sich kein Rühj. Vier Woche isch'r jetz ball üsgebliwwe.,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Schun vier Wuche!,2,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Wenn'r sich nur widder emol dhädd blicke lon . . . ich wär froh drum.,3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,So.,3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Verlicht kummt'r hit. — M'r könnt 'm jo Order schicke.,3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Au noch.,3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Rüscht als emol d'Karte for e kleins Piketel.,3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Allewyl mit dim Kartesspiele.,3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,D'r Herr Albert spielt halt emol groß- artig ; er macht gueti Kombinatione.,3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Ja, bi Gott, dis isch wohr; nur zue gueti.",3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,Hein?,3,greber-d-jumpfer-prinzesse
drama,Jakob Schmelzer,M,,,,"Wenn'r kummt, ze-n-isch's nit wäje dir un dinere Distraktion. Dis emol weiß ich.",3,greber-d-jumpfer-prinzesse
