"Unnamed..0","drama_type","speaker","sex","job","job_category","social_class","text","progress","short_name","numTokens","numLexTokens","lexRatio","anger","anticipation","arousal","disgust","dominance","fear","joy","sadness","surprise","trust","valence"
0,"drama","Siner Babe","M","","","","
            
Babe:

            
(sitzt im Rohrstuhl; Hemd, Hose und Frack an, Hals-  tuch; hat eine Decke über sich. Sehr krankhaftes Ausse-  hen, Fährt sich oft mit einem Tuche übers Gesicht, um  den Schweiss zu trocknen. Nach einer Weile)

            
Mame!

          
",0,"weber-e-bissel-lieb",41,6,0.146341463414634,-0.533613998301242,-0.58627697917487,-0.496914090151121,0.401098229068635,0.797621701657099,0.611959070515324,-0.614682619635218,0.00876037265134699,-0.681622072503168,1,0.5722459892939
1,"drama","Sini Mame","F","","","","
            
Mame  :

            
(einfach angezogen; Schürze. Bringt das Bett in Ord-  nung)

            
Was denn Babe?

          
",0,"weber-e-bissel-lieb",16,3,0.1875,-0.533613998301242,-0.58627697917487,-0.496914090151121,0.401098229068635,0.797621701657099,0.611959070515324,-0.614682619635218,0.00876037265134699,-0.681622072503168,1,0.5722459892939
2,"drama","Siner Babe","M","","","","
            
Babe:

            
Kum, setz dich... e bissel... züe mir.

          
",0,"weber-e-bissel-lieb",8,1,0.125,-0.533613998301242,-0.58627697917487,-0.496914090151121,0.401098229068635,0.797621701657099,0.611959070515324,-0.614682619635218,0.00876037265134699,-0.681622072503168,1,0.5722459892939
3,"drama","Sini Mame","F","","","","
            
Mame  :

            
(setzt sich neben Babe)

            
Was soll denn sin?

          
",0,"weber-e-bissel-lieb",11,2,0.181818181818182,-0.533613998301242,-0.58627697917487,-0.496914090151121,0.401098229068635,0.797621701657099,0.611959070515324,-0.614682619635218,0.00876037265134699,-0.681622072503168,1,0.5722459892939
4,"drama","Siner Babe","M","","","","
            
Babe :

            
(langt nach den Händen von Mame)

            
Mame — Made- leine!!

          
",0,"weber-e-bissel-lieb",14,3,0.214285714285714,-0.533613998301242,-0.58627697917487,-0.496914090151121,0.401098229068635,0.797621701657099,0.611959070515324,-0.614682619635218,0.00876037265134699,-0.681622072503168,1,0.5722459892939
5,"drama","Sini Mame","F","","","","
            
Mame:

            
Pierre, Pierre, was isch denn?

          
",0,"weber-e-bissel-lieb",6,1,0.166666666666667,-0.533613998301242,-0.58627697917487,-0.496914090151121,0.401098229068635,0.797621701657099,0.611959070515324,-0.614682619635218,0.00876037265134699,-0.681622072503168,1,0.5722459892939
6,"drama","Siner Babe","M","","","","
            
Babe:

            
Gäll, mir zwei... sin doch immer... glücklich g’sin?

          
",1,"weber-e-bissel-lieb",9,2,0.222222222222222,-0.547700614272608,-0.591406068417674,-0.511622596042101,0.390106584107463,0.80932603546458,0.596779616744372,-0.615381264911172,0.0235642725243723,-0.686078391604601,0.994071954061797,0.574438877975764
7,"drama","Sini Mame","F","","","","
            
Mame:

            
Nadierlich sin mir glücklich g’sin! Wie kummsch düe jetzt awer grad uff diss ze redde? Noch nie hesch düe mich e so ebs g’fröjt.

          
",1,"weber-e-bissel-lieb",25,4,0.16,-0.547700614272608,-0.591406068417674,-0.511622596042101,0.390106584107463,0.80932603546458,0.596779616744372,-0.615381264911172,0.0235642725243723,-0.686078391604601,0.994071954061797,0.574438877975764
8,"drama","Siner Babe","M","","","","
            
Babe:

            
Ich hab dir’s jo immer ang’sähn, dass düe... glücklich bisch, awer... ich hab’s jetzt au vun dir wölle höre.

          
",1,"weber-e-bissel-lieb",22,2,0.0909090909090909,-0.547700614272608,-0.591406068417674,-0.511622596042101,0.390106584107463,0.80932603546458,0.596779616744372,-0.615381264911172,0.0235642725243723,-0.686078391604601,0.994071954061797,0.574438877975764
9,"drama","Sini Mame","F","","","","
            
Mame:

            
Düe hesch jo hyt ganz sunderbari Gedanke un Wünsch!

          
",1,"weber-e-bissel-lieb",10,4,0.4,-0.547700614272608,-0.591406068417674,-0.511622596042101,0.390106584107463,0.80932603546458,0.596779616744372,-0.615381264911172,0.0235642725243723,-0.686078391604601,0.994071954061797,0.574438877975764
